metric,value
accuracy,0.7978142076502732
precision,0.8263399947103296
recall,0.7978142076502732
f1,0.8083267052918756
qwk,0.9026776327994558
roc_auc,0.9370291797947408
pr_auc,0.6686764022194402
val_loss,0.2405640671660747
