epoch,train_loss,val_loss,accuracy,precision,recall,f1,qwk
1,0.4331416449144025,0.28063870286518106,0.8415300546448088,0.8417685057528108,0.8415300546448088,0.825635490887078,0.8870466911659972
2,0.32679591755741894,0.26309749257084125,0.825136612021858,0.8160397937843149,0.825136612021858,0.8162294560028255,0.8768911945170597
3,0.2693808212641105,0.23038508315555384,0.8360655737704918,0.8347417226623438,0.8360655737704918,0.8319809215284892,0.905294343868845
4,0.24738307520620043,0.246986362673444,0.8005464480874317,0.8123148073268801,0.8005464480874317,0.7989991363873299,0.8792937236795373
5,0.22251955066607318,0.2427030142620613,0.8087431693989071,0.8371598343754451,0.8087431693989071,0.8165106773271577,0.9156574062219947
6,0.20212501427126928,0.2716296649069775,0.8060109289617486,0.8437324413951638,0.8060109289617486,0.8135926554641768,0.9180893919048533
7,0.19101694784804213,0.22311793858582368,0.819672131147541,0.8213484147910377,0.819672131147541,0.8183455167507138,0.8939021090740431
8,0.17166682750514292,0.23487709332104834,0.8442622950819673,0.8524282200019069,0.8442622950819673,0.8462921617791928,0.908402629686179
9,0.16136634072667122,0.21275287044433053,0.8360655737704918,0.829550260471685,0.8360655737704918,0.8286731039912744,0.9057921611731805
10,0.13642628222160397,0.2427606575885696,0.8306010928961749,0.8506930304156346,0.8306010928961749,0.8349264715218291,0.8915536146806505
11,0.13718748882988233,0.23911133738453474,0.8306010928961749,0.8383424408014571,0.8306010928961749,0.8286952225879255,0.8990192881687527
12,0.11631265316419176,0.23989586147181996,0.8333333333333334,0.8268019776216498,0.8333333333333334,0.8203379540400976,0.9017314435013335
13,0.10663168702605133,0.21824086929831776,0.8387978142076503,0.8312636883929297,0.8387978142076503,0.8300076912045182,0.9076753159983092
