metric,value
accuracy,0.8442622950819673
precision,0.8494157846658429
recall,0.8442622950819673
f1,0.8376251663464972
qwk,0.8897968977149229
roc_auc,0.9358635831732114
pr_auc,0.6718811516381965
val_loss,0.2959426650510276
