metric,value
accuracy,0.8442622950819673
precision,0.849269929644195
recall,0.8442622950819673
f1,0.8394786524638062
qwk,0.8965253542080894
roc_auc,0.9284032210875288
pr_auc,0.6494705337278991
val_loss,1.0449400632922115
