epoch,train_loss,val_loss,accuracy,precision,recall,f1,qwk
1,0.8889801796201778,0.6786544556203096,0.7950819672131147,0.784889789402591,0.7950819672131147,0.7865524817810572,0.8440997620516436
2,0.33033597054283903,0.6154768220756365,0.7978142076502732,0.7821094111043889,0.7978142076502732,0.7854902261917511,0.8634353836682152
3,0.1934707999209185,0.6184415810781977,0.8224043715846995,0.8137167698497317,0.8224043715846995,0.8133175291974714,0.8758243018521704
4,0.12023570376913995,0.647126832086107,0.8114754098360656,0.8008695435327399,0.8114754098360656,0.8044577159930879,0.8779774993970519
5,0.11377567519514781,0.6442427732374357,0.8224043715846995,0.8063010236650919,0.8224043715846995,0.8108994887920693,0.8617831257476603
6,0.07813944932802216,0.6353168072907821,0.8278688524590164,0.82499452778105,0.8278688524590164,0.8248657926390984,0.8679979182074671
7,0.08458834998031228,0.6163931106743605,0.8060109289617486,0.7964269717561844,0.8060109289617486,0.7976553576848153,0.8624753859764276
8,0.06146657023877513,0.672980166323807,0.8087431693989071,0.7914766644218312,0.8087431693989071,0.795418955477531,0.8664426067190093
9,0.05180121627990562,0.6953178822346355,0.8169398907103825,0.802499581361566,0.8169398907103825,0.8046330332671455,0.8579304245283019
10,0.03058126300121607,0.7190511077642441,0.8087431693989071,0.7935577646462249,0.8087431693989071,0.7977362478833033,0.8668005939383352
11,0.030244607732880548,0.7045019178286843,0.819672131147541,0.8079940167449278,0.819672131147541,0.8097943527929072,0.8641271192452294
12,0.050135760299504596,0.7536214828167273,0.8114754098360656,0.7946396670938619,0.8114754098360656,0.799850659534045,0.8745209648331831
13,0.04909529763468457,0.7386751450274301,0.819672131147541,0.8146589239188432,0.819672131147541,0.814426929170594,0.8704280268862572
14,0.06312188241032424,0.7981097845603591,0.8224043715846995,0.8125887646356555,0.8224043715846995,0.8151625267298624,0.8684992884618095
15,0.04509072212894076,0.8356227711167025,0.8005464480874317,0.7935797495188993,0.8005464480874317,0.7898359686655494,0.8598964197252871
16,0.02219613903306926,0.8003312959943129,0.8060109289617486,0.7901709910601269,0.8060109289617486,0.7923705445632749,0.8577844525495244
17,0.043443313726248045,0.7670683528742065,0.8169398907103825,0.8082148048268267,0.8169398907103825,0.8091235965010949,0.8805661221749832
18,0.026933068433274466,0.944474738597384,0.8114754098360656,0.7946674316561523,0.8114754098360656,0.7967252259362513,0.8590131667238268
19,0.0574771275365176,0.8602084713461606,0.8005464480874317,0.7745068074465131,0.8005464480874317,0.7852521312281858,0.8643632942786282
20,0.06330540615152072,0.8559644458734471,0.8114754098360656,0.7995136390490588,0.8114754098360656,0.8032620006503556,0.8818267285832313
21,0.038523040806684665,0.7775080755919866,0.825136612021858,0.8213442757511691,0.825136612021858,0.8230463931452034,0.8903103595008991
22,0.033677328464838625,0.8331271409988403,0.7978142076502732,0.7832922441722467,0.7978142076502732,0.7884848781695768,0.86970245302785
23,0.07531759379502467,0.8748022136480912,0.8060109289617486,0.7937231070657218,0.8060109289617486,0.783362417658302,0.8577212515952999
24,0.0593780996344361,0.8968773743380671,0.8142076502732241,0.8063930378769761,0.8142076502732241,0.8086155163810561,0.8679747068226507
