epoch,train_loss,val_loss,accuracy,precision,recall,f1,qwk
1,0.9484994215057978,0.8899183474236825,0.7076502732240437,0.7275175644028103,0.7076502732240437,0.6974168968233211,0.8642746629337655
2,0.671980660485021,0.7062628857709997,0.7814207650273224,0.8332029883552134,0.7814207650273224,0.7892810202651612,0.9008076762844203
3,0.5619698843642205,0.6754601196655647,0.8114754098360656,0.8416573277928191,0.8114754098360656,0.8195469290053446,0.9074478279386712
4,0.47428165644140274,0.7107333914107068,0.8005464480874317,0.8363938699424293,0.8005464480874317,0.8133798949585009,0.90410993636064
5,0.35323390405141963,0.7636371536709653,0.7868852459016393,0.7989738880843287,0.7868852459016393,0.7771588202206693,0.8981550333216416
6,0.2939255487135653,0.6989024504154024,0.8060109289617486,0.8344537179739941,0.8060109289617486,0.815371219569381,0.9015462329821967
7,0.24914007051831982,0.8108790181729881,0.8114754098360656,0.8088045398358732,0.8114754098360656,0.8056230390209892,0.8842198190244979
8,0.20006847937000158,0.7656341438255492,0.8306010928961749,0.8224222852021044,0.8306010928961749,0.8251836392995819,0.910735439633186
9,0.18115241713440458,0.7415722782705794,0.8497267759562842,0.8498415968854023,0.8497267759562842,0.8453288128858821,0.9192609954501586
10,0.14793136480912794,0.8904899387592399,0.8169398907103825,0.8296002787347433,0.8169398907103825,0.8198829190090398,0.9090613395495081
11,0.1452895575087778,0.835429829697995,0.8333333333333334,0.8299929662850216,0.8333333333333334,0.8280548191086482,0.9069983944304276
12,0.15078249902245128,0.8543410287442226,0.8360655737704918,0.8313439895520167,0.8360655737704918,0.833044098668827,0.9057992995615366
13,0.11225873434394852,0.9088966824633421,0.8497267759562842,0.8480545850876406,0.8497267759562842,0.8450071652443242,0.8995546900728819
14,0.09974365639961214,0.7962938888409414,0.8633879781420765,0.8614320680757266,0.8633879781420765,0.8609746984185461,0.9155840488025305
15,0.10340225716020575,0.8792095500625965,0.8415300546448088,0.8381989429870392,0.8415300546448088,0.8368652142218485,0.9013657494297347
16,0.10268168429082812,1.0320245195046587,0.7896174863387978,0.8052188088350095,0.7896174863387978,0.7944291728536249,0.901190109640022
