metric,value
accuracy,0.8060109289617486
precision,0.8116088794794981
recall,0.8060109289617486
f1,0.8030526059653014
qwk,0.8782989435346732
roc_auc,0.9324037326861425
pr_auc,0.6264609950009605
val_loss,0.4688418536686181
