epoch,train_loss,val_loss,accuracy,precision,recall,f1,qwk
1,0.754854173682954,0.46482778437759564,0.7568306010928961,0.7654254234031892,0.7568306010928961,0.759462348137106,0.8395564308277932
1,0.754854173682954,0.46482778437759564,0.7568306010928961,0.7654254234031892,0.7568306010928961,0.759462348137106,0.8395564308277932
2,0.3235167421137347,0.31229523796102276,0.7978142076502732,0.7907207749363768,0.7978142076502732,0.7900271422986705,0.860926767640097
3,0.23915864999972933,0.2907426673109117,0.8114754098360656,0.810571560909566,0.8114754098360656,0.8105034547889867,0.867926636773806
4,0.1865826777850642,0.3017965698938655,0.825136612021858,0.8127061680774312,0.825136612021858,0.814361997773533,0.8759870359457866
5,0.16874283952031122,0.3337784867895686,0.8142076502732241,0.7988716843681579,0.8142076502732241,0.8046075186927537,0.8716655428186109
6,0.14568375314221435,0.3003554854380048,0.8306010928961749,0.8174328664697631,0.8306010928961749,0.8205464049449586,0.8876061609327768
7,0.1087157517803185,0.3273169181269148,0.8224043715846995,0.8206873602792124,0.8224043715846995,0.8197437708258205,0.8908393694077545
8,0.09031529154922084,0.33013217888124613,0.8360655737704918,0.8235086155361592,0.8360655737704918,0.8266388042938292,0.8790020673855954
9,0.08051784682839239,0.31460964712111844,0.8442622950819673,0.8414101524034021,0.8442622950819673,0.8378530394923839,0.8986379969038929
10,0.06476587804829013,0.33489350974559784,0.8306010928961749,0.8293160503159792,0.8306010928961749,0.8291268907137203,0.8841188624041488
11,0.0732729142625391,0.34034323870487837,0.8415300546448088,0.8371446991224888,0.8415300546448088,0.8348231233822261,0.9041455958401189
12,0.06423479717467791,0.36020185741717403,0.825136612021858,0.8101570536813685,0.825136612021858,0.812521210933178,0.8857597476660518
13,0.07215112755938721,0.3606799629557392,0.8224043715846995,0.8145590767258112,0.8224043715846995,0.8155658078195686,0.8929381715443558
14,0.07047569011015382,0.32174569680153026,0.819672131147541,0.8161461510377648,0.819672131147541,0.8170597599050313,0.9061118262718979
15,0.04581628184330285,0.3627477043672748,0.8360655737704918,0.8281348417902256,0.8360655737704918,0.8305151097257444,0.9091364693107624
16,0.041467232241223465,0.3816300192442925,0.8169398907103825,0.8015828151498021,0.8169398907103825,0.8031959617290804,0.9025937594406801
17,0.03405775647811622,0.3999032146985764,0.8114754098360656,0.8080991985275433,0.8114754098360656,0.8066304882927665,0.8894826709766557
18,0.03526354520347567,0.3592004311959381,0.8306010928961749,0.8205383151555474,0.8306010928961749,0.8237142056633536,0.9012697083856565
19,0.04913260261879338,0.38311930195144983,0.8224043715846995,0.8145467366984389,0.8224043715846995,0.8159226835558303,0.883746256466104
20,0.03764920266732351,0.34733200048946816,0.825136612021858,0.8231296175486921,0.825136612021858,0.8238997712822661,0.8979625414758549
21,0.029132317586276178,0.33281304061655764,0.8224043715846995,0.824915611506155,0.8224043715846995,0.8217193807349582,0.8893925657298277
22,0.027256873439672865,0.35902564227581024,0.8387978142076503,0.8328670450038782,0.8387978142076503,0.8323760068660602,0.8963906581740977
23,0.03778386544953442,0.41840476315954456,0.8278688524590164,0.8127657363891567,0.8278688524590164,0.8168339150310338,0.8899161530345938
24,0.02418719894866745,0.38423699772228365,0.8469945355191257,0.8417060903964281,0.8469945355191257,0.8376434644788173,0.8989537925021795
25,0.02222953880866795,0.38870516945810424,0.8387978142076503,0.8310116333890673,0.8387978142076503,0.8294600367884025,0.9039996597240929
26,0.02561976043125469,0.36288339328830654,0.8415300546448088,0.8328074416624086,0.8415300546448088,0.8341979765327219,0.8968408486932795
27,0.031878059986391476,0.39411249274954846,0.819672131147541,0.8075427183623906,0.819672131147541,0.8099915704439922,0.8878238079379099
28,0.017722108865437684,0.4166420234124298,0.825136612021858,0.8112925254669469,0.825136612021858,0.813914112100538,0.8974326367399997
29,0.021664190757944554,0.3935882283890944,0.8142076502732241,0.7987613944380274,0.8142076502732241,0.8036174675575793,0.884160552438498
30,0.017418267907092028,0.35354028930685116,0.8278688524590164,0.8216049925609297,0.8278688524590164,0.8229669003479586,0.9022340529315848
