metric,value
accuracy,0.855191256830601
precision,0.8623623871574692
recall,0.855191256830601
f1,0.8509643302244682
qwk,0.8873452256033578
roc_auc,0.9473643224539521
pr_auc,0.7316218985107289
val_loss,0.31380507152507214
