epoch,train_loss,val_loss,accuracy,precision,recall,f1,qwk
1,0.9494440272081732,0.8606623123130186,0.8169398907103825,0.7754051655690999,0.8169398907103825,0.792040836328041,0.8816725339464042
2,0.6215625349009479,0.8154208481596793,0.8060109289617486,0.7959373882845615,0.8060109289617486,0.7989076026868616,0.8703378301779844
3,0.3968033239720612,0.8979111574997342,0.8169398907103825,0.8205022716328538,0.8169398907103825,0.8115108757059247,0.876506150258995
4,0.17458129842501807,0.9002620775171154,0.8169398907103825,0.8284153005464481,0.8169398907103825,0.8193864512479704,0.8811297483966453
5,0.5067329304607477,0.7351485511155728,0.8032786885245902,0.8012352568822746,0.8032786885245902,0.7970868559941924,0.8673950973942393
6,0.3566203223994326,0.7424915119003036,0.8114754098360656,0.82529117581267,0.8114754098360656,0.8164513203097393,0.8923969731056345
7,0.2326371174297731,0.6254096224629244,0.8415300546448088,0.8434626512058943,0.8415300546448088,0.8420563080047014,0.9080652074720352
8,0.1846631645415703,0.9311126631460677,0.7978142076502732,0.8225157060731725,0.7978142076502732,0.8017546023044106,0.8727886215057291
9,0.1913422679008897,1.1843654652675766,0.7622950819672131,0.7920257782844763,0.7622950819672131,0.7525197421901757,0.8628805113205503
10,0.1546093253247955,0.7736282782397574,0.8142076502732241,0.8220963248687454,0.8142076502732241,0.8165337435864911,0.9058838912133891
11,0.12444962906657556,0.8416537937855786,0.8469945355191257,0.8455779824648908,0.8469945355191257,0.8378719490251756,0.9044812663705728
12,0.11397783702212376,0.7652807769612434,0.8387978142076503,0.8370191515699205,0.8387978142076503,0.836655119823053,0.9076876513317191
13,0.09657444862248345,0.8225816890554085,0.8415300546448088,0.8368272892863056,0.8415300546448088,0.8316178855702772,0.9025587406697453
14,0.0867348590429869,0.8184668125166136,0.8387978142076503,0.8488850164535299,0.8387978142076503,0.8404400091931239,0.8950197251714369
15,0.12725802898631866,0.7345720462137172,0.8333333333333334,0.8376458912820266,0.8333333333333334,0.8330171615962648,0.9062285541738725
16,0.13070152170420546,0.7757926496901025,0.8442622950819673,0.8424198464417266,0.8442622950819673,0.8425451088954109,0.8998654467168999
17,0.08673880575999535,0.8805268632227051,0.8360655737704918,0.8196052993670637,0.8360655737704918,0.8128434281318313,0.9020866773675762
