epoch,train_loss,val_loss,accuracy,precision,recall,f1,qwk
1,0.9467870164497314,0.8904993606558262,0.7540983606557377,0.7312875835791127,0.7540983606557377,0.7281499827744585,0.8280721533258174
2,0.6701181711164961,0.684327267771943,0.8224043715846995,0.8195954846901364,0.8224043715846995,0.8170886863102098,0.8880639874490468
3,0.567500237736584,0.6801392812729696,0.8278688524590164,0.829121491181076,0.8278688524590164,0.82672174792498,0.8750946677512552
4,0.4730448695020464,0.8089232194018575,0.7814207650273224,0.8007614338996073,0.7814207650273224,0.7809275807810765,0.8547757356442244
5,0.3578694650474237,0.6947056691167377,0.8169398907103825,0.8169291075046772,0.8169398907103825,0.8032237724924117,0.8979876247282458
6,0.2940977118432573,0.789637933749848,0.7978142076502732,0.8220130062070652,0.7978142076502732,0.8023787675417197,0.8771292865491259
7,0.2633757529637233,0.7368730143923822,0.819672131147541,0.8157765838575867,0.819672131147541,0.8104141918111981,0.8829557793279886
8,0.1971988272274695,0.8447747449161577,0.825136612021858,0.8274074856703032,0.825136612021858,0.8180703160773685,0.8934525185584753
9,0.17392289171745498,0.8338997949937694,0.819672131147541,0.8191979210317638,0.819672131147541,0.810041501298332,0.8837004154572876
10,0.15438433070031374,0.8225206376760791,0.8224043715846995,0.8373476006422828,0.8224043715846995,0.8243712795229772,0.8888277019496781
11,0.1446992531309934,0.8433201629592136,0.8306010928961749,0.8244375890673562,0.8306010928961749,0.8220933585051347,0.8932963750370032
12,0.14886064409348262,0.8332049238293233,0.8415300546448088,0.8383917692171271,0.8415300546448088,0.8369035540089164,0.9024
13,0.1341487803571117,0.905253508703941,0.8333333333333334,0.8305970325789264,0.8333333333333334,0.8142202017418988,0.8947229860176681
14,0.10108750449650866,0.8196820535282273,0.8415300546448088,0.8391081854951717,0.8415300546448088,0.8379631881761923,0.9015987325363676
15,0.10443062476941731,0.8708622302978345,0.8360655737704918,0.8320064441682727,0.8360655737704918,0.8297549318728441,0.8907680063668921
16,0.12397802493875884,0.9291238438031417,0.8469945355191257,0.8443720762569533,0.8469945355191257,0.8362263381152781,0.9036663963464083
17,0.09940909646676357,0.9444663053082017,0.8114754098360656,0.816822874111617,0.8114754098360656,0.8083023062657315,0.8881275631065488
18,0.09724505320167544,0.8932796448604026,0.825136612021858,0.8375538362875378,0.825136612021858,0.8286884225655331,0.891601637951016
19,0.09375326099474565,0.8979034815527513,0.8387978142076503,0.8522759624282744,0.8387978142076503,0.833062770029147,0.8728922978587408
20,0.0713115237809403,0.9133888929210796,0.8469945355191257,0.861200560143413,0.8469945355191257,0.8454067654428107,0.8938967616514043
21,0.05852814415790007,0.9065977261841293,0.855191256830601,0.8549549608558501,0.855191256830601,0.8496048368624561,0.920045735958503
22,0.061583656790934874,0.9194271219407636,0.8469945355191257,0.8415478918519638,0.8469945355191257,0.8365858760164195,0.903495876909292
23,0.055148788512680035,0.8889151723278353,0.8387978142076503,0.836642380085003,0.8387978142076503,0.8357131175737479,0.8998499731083873
24,0.08151985470997408,0.9114597788830593,0.8524590163934426,0.854072424790513,0.8524590163934426,0.8525266624995043,0.9078562618661566
25,0.11109183175551289,0.7899300164178579,0.8633879781420765,0.8675671348389564,0.8633879781420765,0.8637730193615303,0.9178245641045379
26,0.07391559405668731,0.8014916840710428,0.8442622950819673,0.842138694080023,0.8442622950819673,0.8405386209795481,0.9043013246388278
27,0.04965461384058642,0.7749667451653345,0.8743169398907104,0.8738008343871848,0.8743169398907104,0.8736475564633709,0.9220775691028185
28,0.04240130722604584,0.9226988621881961,0.8497267759562842,0.8456195807549939,0.8497267759562842,0.8439525492374548,0.9115942028985508
29,0.05791828967191823,0.942342546173687,0.8415300546448088,0.8481026286443251,0.8415300546448088,0.8419764206649453,0.9136000871625855
30,0.05029560926721158,0.8947694941445781,0.8387978142076503,0.8344264710856005,0.8387978142076503,0.8348904144184522,0.9057522184393672
31,0.05360277102468098,0.9554583148630349,0.8415300546448088,0.837152336769698,0.8415300546448088,0.8374588244174138,0.9177885911276937
32,0.04360315487915257,0.9255473346955492,0.8497267759562842,0.8473937230173866,0.8497267759562842,0.847753390338217,0.9008769226458969
33,0.06123435474784589,0.9303736244496105,0.8524590163934426,0.856509114078911,0.8524590163934426,0.8529633798942889,0.9091460280219853
34,0.08177111618451849,1.0764374764974272,0.8142076502732241,0.8228367895409873,0.8142076502732241,0.8042664562866625,0.8737094673339274
35,0.043848529335084756,0.9628415784396676,0.855191256830601,0.8514619883040936,0.855191256830601,0.8500239114993212,0.9046834009490087
36,0.038734209991456325,0.9888693499159389,0.860655737704918,0.8574958096197346,0.860655737704918,0.8522031227662018,0.9106227106227106
37,0.040726050595760246,0.9536491766233408,0.8415300546448088,0.8390449408280872,0.8415300546448088,0.8341333820503121,0.887204774045331
