metric,value
accuracy,0.8497267759562842
precision,0.8435223406349297
recall,0.8497267759562842
f1,0.8422721565863546
qwk,0.9005751848808545
roc_auc,0.9356701540197905
pr_auc,0.646391755153686
val_loss,1.0571467208968988
